epoch,accuracy,f1_score,jaccard_index,loss,precision,recall,val_accuracy,val_f1_score,val_jaccard_index,val_loss,val_precision,val_recall
0,0.7883720397949219,0.2180100381374359,0.13612352311611176,0.03703261911869049,0.7883721590042114,0.7883720397949219,0.9666050672531128,0.2894001305103302,0.1831601858139038,0.037904780358076096,0.9666050672531128,0.966605007648468
1,0.9203301072120667,0.3830559551715851,0.2604209780693054,0.02963862381875515,0.9203299880027771,0.9203299880027771,0.9742764830589294,0.36999037861824036,0.24549241364002228,0.029997004196047783,0.9742764830589294,0.9742764830589294
2,0.9426854848861694,0.4433317184448242,0.30898046493530273,0.025056269019842148,0.9426854848861694,0.9426854848861694,0.9693286418914795,0.47181740403175354,0.3292057514190674,0.023129578679800034,0.9693286418914795,0.9693286418914795
3,0.9485865831375122,0.472041517496109,0.3316948413848877,0.021623874083161354,0.9485865831375122,0.9485865831375122,0.9341997504234314,0.43101808428764343,0.29835447669029236,0.021173687651753426,0.9341997504234314,0.9341996908187866
4,0.9553331136703491,0.49956855177879333,0.35306641459465027,0.018715480342507362,0.9553331136703491,0.9553331136703491,0.9778214693069458,0.5039981007575989,0.3632304072380066,0.017938852310180664,0.9778214693069458,0.977821409702301
5,0.9587047100067139,0.5210148096084595,0.37139928340911865,0.01648877188563347,0.9587046504020691,0.9587046504020691,0.9557408690452576,0.48894762992858887,0.35284578800201416,0.015982743352651596,0.9557408690452576,0.9557408094406128
6,0.9630050659179688,0.5552886128425598,0.4018017649650574,0.014604207128286362,0.9630050659179688,0.9630050659179688,0.9216722249984741,0.43734267354011536,0.3083418905735016,0.018206097185611725,0.9216722249984741,0.9216722249984741
7,0.9654685854911804,0.5748159289360046,0.4208841621875763,0.013150449842214584,0.9654686450958252,0.9654686450958252,0.9497253894805908,0.5039755702018738,0.36438557505607605,0.015207724645733833,0.9497253894805908,0.9497253894805908
8,0.9691240191459656,0.6057935357093811,0.44989052414894104,0.011528999544680119,0.9691237211227417,0.9691237211227417,0.9702956676483154,0.5710922479629517,0.42771393060684204,0.012419084087014198,0.9702956676483154,0.9702956676483154
9,0.9704883694648743,0.6247400045394897,0.469259649515152,0.010384388267993927,0.9704883098602295,0.9704883098602295,0.9528384804725647,0.5254205465316772,0.3842655420303345,0.012874418869614601,0.9528384804725647,0.9528384804725647
10,0.9712285399436951,0.6322455406188965,0.4774284362792969,0.009852534160017967,0.9712282419204712,0.9712282419204712,0.9798548221588135,0.6650434732437134,0.5234647393226624,0.009938438422977924,0.9798548221588135,0.9798548221588135
11,0.9750763177871704,0.6672954559326172,0.5147308707237244,0.008451863192021847,0.97507643699646,0.97507643699646,0.9754686951637268,0.6311389207839966,0.4858006536960602,0.009439474903047085,0.9754686951637268,0.9754686951637268
12,0.9752668142318726,0.6752260327339172,0.5233877897262573,0.008077164180576801,0.9752671718597412,0.9752671718597412,0.9643697738647461,0.5923525094985962,0.4500283896923065,0.009671291336417198,0.9643697738647461,0.9643697738647461
13,0.9770755767822266,0.6952557563781738,0.5454306602478027,0.0072019826620817184,0.9770755171775818,0.9770755171775818,0.9813708662986755,0.7014161348342896,0.5671804547309875,0.008388602174818516,0.9813708662986755,0.9813708662986755
14,0.9792979955673218,0.719719409942627,0.573351263999939,0.0064507597126066685,0.9792976975440979,0.9792976975440979,0.929076611995697,0.4554186165332794,0.32410985231399536,0.014774520881474018,0.929076611995697,0.929076611995697
15,0.9776501655578613,0.6998288631439209,0.5523712635040283,0.006795795634388924,0.977649986743927,0.977649986743927,0.98260498046875,0.6917911171913147,0.5538144111633301,0.007925021462142467,0.98260498046875,0.98260498046875
16,0.9803431034088135,0.7331709265708923,0.5893794298171997,0.005790300201624632,0.980343222618103,0.980343222618103,0.9760191440582275,0.6831254363059998,0.5515806078910828,0.00862532202154398,0.9760191440582275,0.9760191440582275
17,0.9810674786567688,0.7409599423408508,0.6005309820175171,0.0053695198148489,0.9810673594474792,0.9810673594474792,0.9752259254455566,0.657626748085022,0.5168266892433167,0.007869038730859756,0.9752259254455566,0.9752259254455566
18,0.9816192388534546,0.7472543120384216,0.6068118810653687,0.005078931339085102,0.9816195368766785,0.9816195368766785,0.982642650604248,0.7209790945053101,0.5877660512924194,0.006589960306882858,0.982642650604248,0.982642650604248
19,0.9815886616706848,0.7509068846702576,0.6121332049369812,0.004944526124745607,0.9815886616706848,0.9815886616706848,0.9880214333534241,0.7604436874389648,0.6405355334281921,0.00744684087112546,0.9880214333534241,0.9880214333534241
20,0.9839280843734741,0.7745548486709595,0.6411967277526855,0.0042998893186450005,0.983927845954895,0.983927845954895,0.9755027890205383,0.6553854942321777,0.5187692046165466,0.007082165218889713,0.9755027890205383,0.9755027890205383
21,0.9833595752716064,0.7661415934562683,0.6316414475440979,0.004366699140518904,0.9833595752716064,0.9833595752716064,0.9840281009674072,0.7444349527359009,0.6169953346252441,0.006261319387704134,0.9840281009674072,0.9840281009674072
22,0.9853376150131226,0.7917325496673584,0.6639154553413391,0.003789869835600257,0.985337495803833,0.985337495803833,0.9823399782180786,0.7132515907287598,0.5830602049827576,0.006385963410139084,0.9823399782180786,0.9823399782180786
23,0.9830673336982727,0.7661821246147156,0.6320527791976929,0.004283301532268524,0.9830673933029175,0.9830673933029175,0.9861913919448853,0.7340915203094482,0.6111646890640259,0.007754565682262182,0.9861913919448853,0.9861913919448853
24,0.9849449992179871,0.7854049801826477,0.6548631191253662,0.003810822032392025,0.9849449396133423,0.9849449396133423,0.9842989444732666,0.7313683032989502,0.6082644462585449,0.00627437699586153,0.9842989444732666,0.9842989444732666
25,0.9854568243026733,0.7942045331001282,0.6676714420318604,0.003557618474587798,0.9854567050933838,0.9854567050933838,0.9790343642234802,0.6922919154167175,0.5644532442092896,0.006108787842094898,0.9790343642234802,0.9790343642234802
26,0.9860518574714661,0.801159143447876,0.676942765712738,0.0033615517895668745,0.9860518574714661,0.9860518574714661,0.9890224933624268,0.7845617532730103,0.6726020574569702,0.006679160054773092,0.9890224933624268,0.9890224933624268
27,0.9843787550926208,0.783496081829071,0.6540252566337585,0.003852634457871318,0.9843782782554626,0.9843782782554626,0.9777195453643799,0.6891894340515137,0.5573803186416626,0.006024265196174383,0.9777195453643799,0.9777195453643799
28,0.9861852526664734,0.8033092617988586,0.680084764957428,0.0032916495110839605,0.9861852526664734,0.9861852526664734,0.987555205821991,0.7852938175201416,0.675622820854187,0.006196439266204834,0.987555205821991,0.987555205821991
29,0.9879852533340454,0.8240478038787842,0.7078848481178284,0.0028407066129148006,0.9879850745201111,0.9879850745201111,0.9883274435997009,0.775577187538147,0.6584925651550293,0.005890727508813143,0.9883274435997009,0.9883274435997009
